Loc,Cmp,To ship,Customer,order,qty,shipdate,comments,,# of cases,,Entered on sheet,To Finishing,To Shipping
m0,TRUE,3,corp,s51076,4,1/23,-,,,,1/16     11:50AM,1/17     8:09AM,1/17     8:09AM
m0,TRUE,3,corp,s51639,50,1/23,-,,,,1/16     7:26AM,1/17     8:09AM,1/17     8:09AM
m0,TRUE,2,corp,s51706,1,1/19,-,,,,1/16     11:50AM,1/17     8:09AM,1/17     8:09AM
m9,TRUE,1,bcs,749365,72,1/26,-,,,,1/16     6:45AM,1/17     2:46PM,1/17     2:46PM
m8,TRUE,-6,corp,s51576,676,1/11,-,,,,1/12     11:22AM,1/18     8:05AM,1/18     8:05AM
m7,TRUE,3,corp,s51692,24,1/24,-,,,,1/17     11:02AM,1/18     8:05AM,1/18     8:05AM
m0,TRUE,2,bcs,809234,48,1/26,-,,,,1/16     6:45AM,1/18     2:39PM,1/18     2:39PM
m0,TRUE,0,corp,s51492,3,1/18,-,,,,1/17     11:02AM,1/18     2:39PM,1/18     2:39PM
m0,TRUE,-3,corp,s51598,29,1/17,-,,,,1/16     12:28PM,1/18     2:39PM,1/18     2:39PM
m7,TRUE,3,bcs,774200,96,1/26,-,,,,1/16     6:45AM,1/18     3:02PM,1/18     3:02PM
m0,TRUE,4,bcs,740086,72,1/26,-,,,,1/16     6:45AM,1/21     7:13AM,1/21     7:13AM
m9,TRUE,4,bcs,756816,48,1/26,-,,,,1/16     6:45AM,1/21     7:13AM,1/21     7:13AM
m9,TRUE,4,bcs,774373,48,1/26,-,,,,1/16     6:45AM,1/21     7:13AM,1/21     7:13AM
m9,TRUE,4,bcs,774597,48,1/26,-,,,,1/16     6:45AM,1/21     7:13AM,1/21     7:13AM
m8,TRUE,-4,corp,s51633,132,1/18,-,,,,1/12     11:23AM,1/21     7:13AM,1/21     7:13AM
m6,TRUE,-3,corp,s51707,363,1/19,-,,,,1/17     6:50AM,1/21     7:13AM,1/21     7:13AM
m8,TRUE,3,corp,s51720,24,1/26,-,,,,1/18     2:56PM,1/21     7:13AM,1/21     7:13AM
m6,TRUE,4,camp,678667,72,1/26,-,,,,1/16     11:15AM,1/21     7:13AM,1/22     7:13AM
m6,TRUE,4,camp,682121,92,1/26,-,,,,1/16     11:15AM,1/21     7:13AM,1/22     7:13AM
m0,TRUE,4,bcs,755996,60,1/26,-,,,,1/16     6:45AM,1/23     1:37PM,1/23     1:37PM
m0,TRUE,1,corp,s51703,38,1/24,-,,,,1/18     11:18AM,1/23     4:17PM,1/23     4:17PM
m9,TRUE,5,bcs,766295,144,1/26,-,,,,1/16     6:45AM,1/24     6:35AM,1/24     6:35AM
m6,TRUE,5,bcs,762259,72,1/26,-,,,,1/16     6:45AM,1/24     7:13AM,1/24     7:13AM
m6,TRUE,5,bcs,756194,72,1/26,-,,,,1/16     6:45AM,1/24     7:14AM,1/24     7:14AM
m7,TRUE,5,bcs,756025,48,1/26,-,,,,1/16     6:45AM,1/24     7:16AM,1/24     7:16AM
m7,TRUE,5,bcs,740234,48,1/26,-,,,,1/16     6:45AM,1/24     7:17AM,1/24     7:17AM
m9,TRUE,5,bcs,741067,48,1/26,-,,,,1/16     6:45AM,1/24     8:03AM,1/24     8:03AM
m0,TRUE,4,corp,s51739,1,1/31,-,,,,1/24     5:56AM,1/24     9:35AM,1/24     9:35AM
m7,TRUE,4,camp,679196,72,1/26,-,,,,1/16     11:15AM,1/23     1:37PM,1/24     1:37PM
m6,TRUE,5,bcs,756022,48,1/26,-,,,,1/16     6:45AM,1/24     1:55PM,1/24     1:55PM
m9,TRUE,5,bcs,741557,48,1/26,-,,,,1/16     6:45AM,1/24     1:57PM,1/24     1:57PM
m8,TRUE,5,bcs,737675,72,1/26,-,,,,1/16     6:45AM,1/24     3:11PM,1/24     3:11PM
m8,TRUE,5,bcs,744099,72,1/26,-,,,,1/16     6:45AM,1/24     3:11PM,1/24     3:11PM
m6,TRUE,6,bcs,773632,90,1/26,-,,,,1/16     6:45AM,1/25     6:33AM,1/25     6:33AM
m6,TRUE,1,camp,674885,60,2/2,-,,,,1/23     3:08PM,1/24     2:20PM,1/25     2:20PM
m9,TRUE,2,camp,674897,60,2/2,-,,,,1/23     3:08PM,1/25     2:47PM,1/26     2:47PM
m6,TRUE,2,camp,692332,144,2/2,-,,,,1/23     3:08PM,1/25     2:47PM,1/26     2:47PM
m0,TRUE,3,camp,674875,56,2/2,-,,,,1/23     3:08PM,1/26     1:15PM,1/27     1:15PM
iso 142,TRUE,0,bcs,737517,0,2/9,-,,,,1/30     10:27AM,1/30     12:40PM,1/30     12:40PM
iso 142,TRUE,0,bcs,737691,0,2/9,-,,,,1/30     10:27AM,1/30     12:40PM,1/30     12:40PM
iso 142,TRUE,0,bcs,738973,0,2/9,-,,,,1/30     10:27AM,1/30     12:40PM,1/30     12:40PM
m8,TRUE,1,corp,s51541,240,1/31,-,,,,1/24     11:19AM,1/30     2:44PM,1/30     2:44PM
m0,TRUE,3,corp,s51731,17,2/2,-,,,,1/25     2:35PM,1/30     3:18PM,1/30     3:18PM
m0,TRUE,2,corp,s51788,2,2/1,-,,,,1/26     6:32AM,1/30     3:18PM,1/30     3:18PM
m0,TRUE,2,corp,s51790,2,2/1,-,,,,1/26     6:32AM,1/30     3:18PM,1/30     3:18PM
m0,TRUE,6,corp,s51847,48,2/8,-,,,,1/30     12:35PM,1/30     3:18PM,1/30     3:18PM
m7,TRUE,6,camp,680338 N,646,2/2,-,,,,1/23     3:08PM,1/31     2:01PM,1/31     2:42PM
m9,TRUE,4,camp,674876,56,2/2,-,,,,1/23     3:08PM,1/30     3:01PM,1/31     3:01PM
m9,TRUE,4,camp,674908,50,2/2,-,,,,1/23     3:08PM,1/30     3:01PM,1/31     3:01PM
m9,TRUE,4,camp,674914,54,2/2,-,,,,1/23     3:08PM,1/30     3:01PM,1/31     3:01PM
m6,TRUE,4,camp,674906,100,2/2,-,,,,1/23     3:08PM,1/30     3:18PM,1/31     3:18PM
m6,TRUE,3,bcs,762264 Y,72,2/9,-,,,,1/30     10:27AM,1/31     10:27AM,2/2     6:17AM
m8,TRUE,-3,corp,s51647 Y,100,2/2,-,,,,1/24     12:42PM,2/1     3:26PM,2/6     9:34AM
m1,TRUE,0,corp,s51807 Y,300,2/6,-,,,,1/30     3:55PM,2/1     3:26PM,2/6     9:34AM
m4,TRUE,2,corp,s51839 Y,52,2/8,-,,,,1/30     3:55PM,2/2     1:28PM,2/6     9:34AM
m6,TRUE,4,bcs,740181 Y,168,2/9,-,,,,1/30     10:27AM,2/2     7:11AM,2/6     9:35AM
m4,TRUE,2,corp,s51836  Y,12,2/13,-,,,,2/1     3:26PM,2/7     9:49AM,2/8     9:33AM
m4,TRUE,2,corp,s51841 y,30,2/13,-,,,,2/6     7:44AM,2/7     9:52AM,2/8     9:33AM
m5,TRUE,0,corp,s51843 y,14,2/8,-,,,,2/2     6:12AM,2/7     9:52AM,2/8     9:33AM
m4,TRUE,1,corp,s51874 y,73,2/10,-,,,,2/6     10:46AM,2/7     9:51AM,2/8     9:33AM
m6,TRUE,-4,bcs,776762 Y,72,2/9,-,,3,,1/30     10:27AM,2/9     6:19AM,2/14     6:31AM
m1,TRUE,-4,bcs,714407 Y,232,2/9,-,,5,,1/30     10:27AM,2/9     6:19AM,2/14     6:32AM
m2,TRUE,-4,bcs,730181 Y,108,2/9,-,,7,,1/30     10:27AM,2/9     6:19AM,2/14     6:32AM
m6,TRUE,-4,bcs,774264 Y,288,2/9,-,,9,,1/30     10:27AM,2/9     6:19AM,2/14     6:32AM
m5,TRUE,-3,corp,s51857 y,49,2/13,-,,5,,2/6     2:26PM,2/13     3:44PM,2/14     9:53AM
m5,TRUE,-5,bcs,776352 Y,48,2/9,-,,2,,1/30     10:27AM,2/14     6:57PM,2/14     6:57PM
m1,TRUE,-5,bcs,740299 Y,96,2/9,-,,3,,1/30     10:27AM,2/14     6:57PM,2/14     6:57PM
m2,TRUE,-5,bcs,726341 Y,408,2/9,-,,16,,1/30     10:27AM,2/9     6:19AM,2/14     6:57PM
m2,TRUE,-3,corp,s51850 y,12,2/14,-,,2,,2/6     12:31PM,2/14     6:57PM,2/14     6:57PM
m4,TRUE,1,corp,s51844 y,48,2/20,-,,3,,2/7     11:01PM,2/16     5:54AM,2/15     9:32AM
m6,TRUE,-6,bcs,730224 Y,68,2/9,-,,3,,1/30     10:27AM,2/13     3:44PM,2/15     12:34PM
m1,TRUE,-6,bcs,738757 Y,72,2/9,-,,3,,1/30     10:27AM,2/14     6:57PM,2/15     12:34PM
m2,TRUE,-6,bcs,756873 Y,173,2/9,-,,4,,1/30     10:27AM,2/13     3:44PM,2/15     12:35PM
m1,TRUE,-6,bcs,738710 Y,48,2/9,-,,2,,1/30     10:27AM,2/14     6:57PM,2/15     1:59PM
m3,TRUE,-6,bcs,765621 Y,72,2/9,-,,3,,1/30     10:27AM,2/14     6:57PM,2/15     2:42PM
m3,TRUE,-6,bcs,748320 Y,360,2/9,-,,11,,1/30     10:27AM,2/13     3:44PM,2/15     2:46PM
m2,TRUE,0,corp,s51884 y,63,2/16,-,,2,,2/7     11:01PM,2/16     6:05AM,2/16     6:05AM
m3,TRUE,-6,bcs,739451 Y,42,2/9,-,,2,,1/30     10:27AM,2/15     8:24AM,2/16     7:26AM
m1,TRUE,-6,bcs,749443 Y,72,2/9,-,,2,,1/30     10:27AM,2/13     3:44PM,2/16     7:26AM
m1,TRUE,-5,bcs,718161 Y,124,2/10,-,,3,,1/31     12:41PM,2/13     3:44PM,2/16     7:26AM
m5,TRUE,0,corp,s51851 y,9,2/16,-,,2,,2/6     11:43AM,2/13     3:44PM,2/16     7:27AM
